,Date,Open,High,Low,Close
0,2013-01-02 00:00:00,0.82741,0.83946,0.82595,0.83333
1,2013-01-03 00:00:00,0.83331,0.83492,0.82696,0.82786
2,2013-01-04 00:00:00,0.82785,0.83214,0.82113,0.8315
3,2013-01-07 00:00:00,0.8304,0.8374,0.82842,0.83688
4,2013-01-08 00:00:00,0.8368,0.83794,0.83326,0.83636
5,2013-01-09 00:00:00,0.83635,0.84073,0.83481,0.83941
6,2013-01-10 00:00:00,0.83939,0.84564,0.83816,0.84536
7,2013-01-11 00:00:00,0.84535,0.84582,0.83582,0.83636
8,2013-01-14 00:00:00,0.83893,0.84384,0.83598,0.84294
9,2013-01-15 00:00:00,0.84292,0.84375,0.83705,0.83948
10,2013-01-16 00:00:00,0.83949,0.84276,0.83651,0.84062
11,2013-01-17 00:00:00,0.84059,0.84238,0.83265,0.83605
12,2013-01-18 00:00:00,0.83604,0.83798,0.83328,0.83666
13,2013-01-21 00:00:00,0.83641,0.83706,0.83315,0.83579
14,2013-01-22 00:00:00,0.83577,0.84269,0.8353,0.84073
15,2013-01-23 00:00:00,0.8407,0.84381,0.83986,0.84217
16,2013-01-24 00:00:00,0.84203,0.84446,0.83729,0.83757
17,2013-01-25 00:00:00,0.83755,0.83912,0.83523,0.83708
18,2013-01-28 00:00:00,0.83519,0.83628,0.82779,0.83374
19,2013-01-29 00:00:00,0.83373,0.83948,0.83239,0.8392
20,2013-01-30 00:00:00,0.83919,0.83921,0.82924,0.83567
21,2013-01-31 00:00:00,0.83566,0.84202,0.83412,0.83865
22,2013-02-01 00:00:00,0.8387,0.84686,0.8385,0.84473
23,2013-02-04 00:00:00,0.84781,0.84809,0.84239,0.84297
24,2013-02-05 00:00:00,0.84296,0.8463,0.84091,0.84426
25,2013-02-06 00:00:00,0.84382,0.84586,0.83804,0.83934
26,2013-02-07 00:00:00,0.83932,0.83995,0.82955,0.83282
27,2013-02-08 00:00:00,0.83281,0.83861,0.83235,0.83548
28,2013-02-11 00:00:00,0.83625,0.83767,0.83076,0.83505
29,2013-02-12 00:00:00,0.83504,0.84346,0.8331,0.84005
30,2013-02-13 00:00:00,0.84002,0.84556,0.83923,0.84509
31,2013-02-14 00:00:00,0.84508,0.85141,0.84474,0.85041
32,2013-02-15 00:00:00,0.85038,0.85316,0.84313,0.84473
33,2013-02-18 00:00:00,0.84435,0.8462,0.8417,0.84494
34,2013-02-19 00:00:00,0.84495,0.84867,0.84015,0.84667
35,2013-02-20 00:00:00,0.8467,0.84674,0.83253,0.83545
36,2013-02-21 00:00:00,0.83546,0.83604,0.8311,0.83379
37,2013-02-22 00:00:00,0.83362,0.83954,0.8332,0.83785
38,2013-02-25 00:00:00,0.83602,0.84149,0.83198,0.83266
39,2013-02-26 00:00:00,0.83271,0.83507,0.82217,0.82486
40,2013-02-27 00:00:00,0.82484,0.8282,0.82236,0.82748
41,2013-02-28 00:00:00,0.82744,0.8322,0.82377,0.82456
42,2013-03-01 00:00:00,0.82462,0.82925,0.82133,0.82493
43,2013-03-04 00:00:00,0.823,0.82766,0.81908,0.82748
44,2013-03-05 00:00:00,0.82749,0.833,0.8254,0.83086
45,2013-03-06 00:00:00,0.83087,0.83474,0.82728,0.82813
46,2013-03-07 00:00:00,0.82814,0.83115,0.82585,0.82809
47,2013-03-08 00:00:00,0.8281,0.82919,0.8185,0.82197
48,2013-03-11 00:00:00,0.82036,0.82828,0.81897,0.82658
